name	value	description	fmt	width
var_02	7.0	  AquaCrop Version (August 2022)	"""%.1f"""	14
var_03	1	  File not protected	"""%.0f"""	15
var_04	2	  fruit/grain producing crop	"""%.0f"""	15
var_05	1	  Crop is sown	"""%.0f"""	15
var_06	1	  Determination of crop cycle   by calendar days	"""%.0f"""	15
var_07	1	  Soil water depletion factors (p) are adjusted by ETo	"""%.0f"""	15
var_08	8.0	  Base temperature (°C) below which crop development does not progress	"""%.1f"""	15
var_09	30.0	  Upper temperature (°C) above which crop development no longer increases with an increase in temperature	"""%.1f"""	15
var_10	-9	  Total length of crop cycle in growing degree-days	"""%.0f"""	15
var_11	0.14	  Soil water depletion factor for canopy expansion (p-exp) - Upper threshold	"""%.2f"""	15
var_12	0.72	  Soil water depletion factor for canopy expansion (p-exp) - Lower threshold	"""%.2f"""	15
var_13	2.9	  Shape factor for water stress coefficient for canopy expansion (0.0 = straight line)	"""%.1f"""	15
var_14	0.69	  Soil water depletion fraction for stomatal control (p - sto) - Upper threshold	"""%.2f"""	15
var_15	6.0	  Shape factor for water stress coefficient for stomatal control (0.0 = straight line)	"""%.1f"""	15
var_16	0.69	  Soil water depletion factor for canopy senescence (p - sen) - Upper threshold	"""%.2f"""	15
var_17	2.7	  Shape factor for water stress coefficient for canopy senescence (0.0 = straight line)	"""%.1f"""	15
var_18	50	  Sum(ETo) during dormant period to be exceeded before crop is permanently wilted	"""%.0f"""	15
var_19	0.80	  Soil water depletion factor for pollination (p - pol) - Upper threshold	"""%.2f"""	15
var_20	5	  Vol% for Anaerobiotic point (* (SAT - [vol%]) at which deficient aeration occurs *)	"""%.0f"""	15
var_21	50	  Considered soil fertility stress for calibration of stress response (%)	"""%.0f"""	15
var_22	2.35	  Shape factor for the response of canopy expansion to soil fertility stress	"""%.2f"""	15
var_23	0.79	  Shape factor for the response of maximum canopy cover to soil fertility stress	"""%.2f"""	15
var_24	1.18	  Shape factor for the response of crop Water Productivity to soil fertility stress	"""%.2f"""	15
var_25	2.45	  Shape factor for the response of decline of canopy cover to soil fertility stress	"""%.2f"""	15
var_26	-9	  dummy - Parameter no Longer required	"""%.0f"""	15
var_27	10	  Minimum air temperature below which pollination starts to fail (cold stress) (°C)	"""%.0f"""	15
var_28	40	  Maximum air temperature above which pollination starts to fail (heat stress) (°C)	"""%.0f"""	15
var_29	12.0	  Minimum growing degrees required for full crop transpiration (°C - day)	"""%.1f"""	15
var_30	2	  Electrical Conductivity of soil saturation extract at which crop starts to be affected by soil salinity (dS/m)	"""%.0f"""	15
var_31	10	  Electrical Conductivity of soil saturation extract at which crop can no longer grow (dS/m)	"""%.0f"""	15
var_32	-9	  Dummy - no longer applicable	"""%.0f"""	15
var_33	25	  Calibrated distortion (%) of CC due to salinity stress (Range  0 (none) to +100 (very strong))	"""%.0f"""	15
var_34	100	  Calibrated response (%) of stomata stress to ECsw (Range  0 (none) to +200 (extreme))	"""%.0f"""	15
var_35	1.05	  Crop coefficient when canopy is complete but prior to senescence (KcTr,x)	"""%.2f"""	15
var_36	0.300	  Decline of crop coefficient (%/day) as a result of ageing, nitrogen deficiency, etc.	"""%.3f"""	15
var_37	0.30	  Minimum effective rooting depth (m)	"""%.2f"""	15
var_38	1.00	  Maximum effective rooting depth (m)	"""%.2f"""	15
var_39	13	  Shape factor describing root zone expansion	"""%.0f"""	15
var_40	0.048	  Maximum root water extraction (m3water/m3soil.day) in top quarter of root zone	"""%.3f"""	15
var_41	0.012	  Maximum root water extraction (m3water/m3soil.day) in bottom quarter of root zone	"""%.3f"""	15
var_42	50	  Effect of canopy cover in reducing soil evaporation in late season stage	"""%.0f"""	15
var_43	6.50	  Soil surface covered by an individual seedling at 90 % emergence (cm2)	"""%.2f"""	15
var_44	6.50	  Canopy size of individual plant (re-growth) at 1st day (cm2)	"""%.2f"""	15
var_45	31250	  Number of plants per hectare	"""%.0f"""	15
var_46	0.20242	  Canopy growth coefficient (CGC)  Increase in canopy cover (fraction soil cover per day)	"""%.5f"""	15
