sat,fc,wp,ksat,penetrability,gravel,cra,crb,description
36.0,13.0,6.0,3000.0,100,0,-0.341200,0.440738,sand
38.0,16.0,8.0,2200.0,100,0,-0.333200,0.365805,loamy sand
41.0,22.0,10.0,1200.0,100,0,-0.323200,0.219363,sandy loam
46.0,31.0,15.0,500.0,100,0,-0.453600,0.837340,loam
46.0,33.0,13.0,575.0,100,0,-0.446850,0.904118,silt loam
43.0,33.0,9.0,500.0,100,0,-0.453600,0.837340,silt
47.0,32.0,20.0,225.0,100,0,-0.576700,-0.511485,sandy clay loam
50.0,39.0,23.0,125.0,100,0,-0.572700,-0.859573,clay loam
52.0,44.0,23.0,150.0,100,0,-0.516600,1.622512,silty clay loam
50.0,39.0,27.0,35.0,100,0,-0.569100,-1.613423,sandy clay
54.0,50.0,32.0,100.0,100,0,-0.556600,1.336132,silty clay
55.0,54.0,39.0,35.0,100,0,-0.608600,0.594642,clay
0.5,0.3,0.1,0.0,100,0,-9.000000,-9.000000,impermeable
