year,month,day,tmin,tmax,rain,et0
1976,1,1,8.9,28.2,0,5.7
1976,1,2,8.6,28,0,5.9
1976,1,3,12,26.5,0,6.9
1976,1,4,9.4,22.5,0,6.4
1976,1,5,7.6,23.9,0,6
1976,1,6,7.9,25.5,0,6
1976,1,7,9.5,26.5,0,6.3
1976,1,8,9.9,27.5,0,6.3
1976,1,9,10.4,28.5,0,6.3
1976,1,10,11.9,29.3,0,6.6
1976,1,11,12.6,29.8,0,6.9
1976,1,12,13.2,30,0,7.1
1976,1,13,13.2,30.7,0,6.9
1976,1,14,13,31.4,0,6.6
1976,1,15,13.3,32.2,0,6.6
1976,1,16,13.1,32.8,0,6.8
1976,1,17,13.7,33.1,0,7.3
1976,1,18,14.8,33.6,0,7.4
1976,1,19,15.1,33.9,0,7.5
1976,1,20,15.7,34.1,0,7.5
1976,1,21,16.4,33.8,0,8
1976,1,22,16.9,33.2,0,8
1976,1,23,16.2,33.1,0,8
1976,1,24,14.7,33.2,0,7.5
1976,1,25,13.5,33.7,0,7.4
1976,1,26,13.6,34.3,0,7.8
1976,1,27,15,34.3,0,8.3
1976,1,28,17.1,32.7,0,8.4
1976,1,29,16.3,31.7,0,8.2
1976,1,30,14.5,31.3,0,7.6
1976,1,31,12.7,31.2,0,6.8
1976,2,1,10.5,32,0,6.5
1976,2,2,9.8,33,0,6.8
1976,2,3,10,33.7,0,7
1976,2,4,11,34.4,0,6.7
1976,2,5,10.2,34.7,0,6
1976,2,6,11,35.6,0,6
1976,2,7,10.9,36.4,0,5.3
1976,2,8,10.3,37.1,0,5.6
1976,2,9,15.7,35.9,0,7.6
1976,2,10,15.7,35.4,0,7.1
1976,2,11,15.9,35,0,6.7
1976,2,12,14.8,34.8,0,7
1976,2,13,15.1,33.4,0,7
1976,2,14,14.8,34.2,0,6.9
1976,2,15,16.6,33.6,0,7.6
1976,2,16,17,33.3,0,8.7
1976,2,17,16.8,34.9,0,8.7
1976,2,18,17,35.3,0,8.8
1976,2,19,15.9,34.6,0,7.6
1976,2,20,14.3,35.2,0,7
1976,2,21,13.7,36.6,0,6.7
1976,2,22,15.9,37.6,0,7.6
1976,2,23,16.9,37.7,0,8.4
1976,2,24,17.2,37.5,0,8.2
1976,2,25,16.6,37.9,0,7.3
1976,2,26,16,38.3,0,7.9
1976,2,27,18,37.8,0,8.3
1976,2,28,16.4,38.2,0,7.9
1976,2,29,14.9,38.6,0,7.6
1976,3,1,16.8,38.6,0,8.2
1976,3,2,17.5,39.3,0,8.6
1976,3,3,17.7,39.3,0,8.3
1976,3,4,17.5,39.4,0,8.3
1976,3,5,18.2,40,0,8.7
1976,3,6,20.1,39.8,0,8.9
1976,3,7,19,39.7,0,7.7
1976,3,8,16.4,39.7,0,5.9
1976,3,9,14.7,40.1,0,6.4
1976,3,10,20.1,37.8,0,8.1
1976,3,11,17.9,36.6,0,8.2
1976,3,12,13.7,36.1,0,6.8
1976,3,13,13.2,36.4,0,6.3
1976,3,14,15,36.7,0,7.2
1976,3,15,14.6,36.9,0,7.6
1976,3,16,12.6,36.1,0,7.5
1976,3,17,15.4,36.2,0,7.3
1976,3,18,15.5,37,0,7.9
1976,3,19,15.2,37.6,0,8.1
1976,3,20,15.5,37.9,0,8.4
1976,3,21,14.2,38.6,0,8.1
1976,3,22,14.6,39.1,0,8.4
1976,3,23,14,39.7,0,8.4
1976,3,24,17.5,40.1,0,9
1976,3,25,15.2,40.2,0,7.5
1976,3,26,15.6,40.6,0,7.6
1976,3,27,17.3,40.7,0,8.3
1976,3,28,18.2,40.6,0,8.4
1976,3,29,19.4,39.7,0,8
1976,3,30,18.2,39.9,0,7.6
1976,3,31,18.1,40.3,0,7.8
1976,4,1,17.9,40.9,0,8
1976,4,2,20.1,41.2,0,9
1976,4,3,19.9,40.8,0,8.4
1976,4,4,17.6,40.4,0,7.1
1976,4,5,16,40.8,0,7
1976,4,6,17,41.3,0,7.7
1976,4,7,19.4,41.6,0,8.9
1976,4,8,17.7,40.6,0,7.7
1976,4,9,17.2,40.7,0,8
1976,4,10,16.6,40.7,0,8.1
1976,4,11,20.4,39.7,0,8.4
1976,4,12,18.9,39.7,0,8.5
1976,4,13,20.6,40.2,0,8.2
1976,4,14,18.9,40,0,7.4
1976,4,15,22.4,38.4,0,5.8
1976,4,16,22.4,37.7,2.2,6.7
1976,4,17,20.1,37.5,3.1,5.6
1976,4,18,20.5,36.2,0.2,5.8
1976,4,19,20.9,36,0.6,5.8
1976,4,20,21.2,35.7,3.2,5.5
1976,4,21,21.2,38.3,0,6.4
1976,4,22,20.2,38.1,0,6.4
1976,4,23,21,36.5,0.4,5.8
1976,4,24,20.8,36.9,0,4.9
1976,4,25,20.8,37,0,6.2
1976,4,26,21.8,35.5,5.4,6.4
1976,4,27,20.9,32.7,4,5.5
1976,4,28,19.4,36.2,0,5.4
1976,4,29,17.9,38.4,0,7
1976,4,30,15.8,38.9,0,5.6
1976,5,1,14.1,38.7,0,5
1976,5,2,14.3,39,0,5.1
1976,5,3,14.8,39.2,0,5.5
1976,5,4,17.2,40.4,0,5.7
1976,5,5,18.4,40.4,0,5.3
1976,5,6,26.3,39.8,0.6,7.8
1976,5,7,22.4,32,5.5,5.4
1976,5,8,21.7,35.8,0.1,5.2
1976,5,9,22.9,36.1,1.2,5.1
1976,5,10,22.3,38.8,0.6,6.2
1976,5,11,22.1,39,0.2,6.3
1976,5,12,21.3,36.4,5.8,6.2
1976,5,13,21.7,38.3,0.6,6.9
1976,5,14,20.2,40.3,0,6.8
1976,5,15,17.3,40.9,0,6.7
1976,5,16,17.3,40.1,0,6.1
1976,5,17,24,40.5,0,6.5
1976,5,18,24.1,39.3,0,7.2
1976,5,19,24.9,38.3,0,7.9
1976,5,20,22.6,37.4,0,6.5
1976,5,21,21.4,36.9,0,5.9
1976,5,22,22.5,36.3,3.9,5.6
1976,5,23,21.6,35.8,8.7,5.5
1976,5,24,22.4,31.7,7.9,4.5
1976,5,25,22.6,32.6,9.7,5.1
1976,5,26,22.1,32,10.9,5.2
1976,5,27,22.3,32.9,2.5,5.4
1976,5,28,22.1,34.4,0.8,5.9
1976,5,29,21.9,35.5,3,5.4
1976,5,30,22.5,34.6,3.8,5.7
1976,5,31,21.9,33.7,2.8,5.5
1976,6,1,22.2,33.5,7.8,5.3
1976,6,2,21.8,32.8,0,5.4
1976,6,3,22.9,33,4.6,5.2
1976,6,4,22.3,35.3,1.4,5.4
1976,6,5,20.4,36.6,0.5,5.7
1976,6,6,17.6,39.4,0,6.8
1976,6,7,16.4,39.6,0,6.2
1976,6,8,17.7,40.7,0,6.5
1976,6,9,22.6,37.9,0.3,6.4
1976,6,10,23,37.8,0,7.6
